DevGroup,Module,PrjPath,AssemblyName,BuildStage,IsNeedBuild
SCF,QDP,Src\QDP\Web\MobileBillQuery\Qdp.MobileBillQuery.SPI\Qdp.MobileBillQuery.Spi.csproj,Inspur.GSP.Qdp.MobileBillQuery.Spi,20Interface,True
SCF,QDP,Src\QDP\Web\MobileBillQuery\Qdp.MobileBillQuery.Utils\Qdp.MobileBillQuery.Utils.csproj,Inspur.GSP.Qdp.MobileBillQuery.Utils,20Interface,True
SCF,QDP,Src\QDP\Web\WebQuery\Api\WebQuery.Api.csproj,Inspur.GSP.Qdp.WebQuery.Api,20Interface,True
SCF,QDP,Src\QDP\Win\Designer\Qdp.Designer.Spi\Qdp.Designer.Spi.csproj,Inspur.GSP.Qdp.Designer.Spi,20Interface,True
SCF,QDP,Src\QDP\Win\Designer\Qdp.Entity\Qdp.Entity.csproj,Inspur.GSP.Qdp.Entity,20Interface,True
SCF,QDP,Src\QDP\Win\Runtime\Qdp.Runtime.Api\Qdp.Runtime.Api.csproj,Inspur.GSP.Qdp.Runtime.Api,20Interface,True
SCF,RTF,Src\RTF\RTFCommon\ApiAC\ApiAccessControlCore\ApiAcCore.csproj,Inspur.GSP.Rtf.ApiAC.Core,20Interface,True
SCF,RTF,Src\RTF\RTFCommon\ApiAC\ApiAccessControlSpi\ApiAcApi.csproj,Inspur.GSP.Rtf.ApiAC.Api,20Interface,True
SCF,RTF,Src\RTF\RTFCommon\ApiAC\ApiAccessControlWebService\ApiAcWebService.csproj,Inspur.GSP.Rtf.ApiAC.WebService,20Interface,True
SCF,RTF,Src\RTF\RTFCommon\ApiAC\ApiACService\ApiAcRemoteClient.csproj,Inspur.GSP.Rtf.ApiAC.RemoteClient,20Interface,True
SCF,RTF,Src\RTF\RTFCommon\Authentication\AuthenticationSPI\GSPAuthenticationApi.csproj,Inspur.GSP.Rtf.Authentication.Api,20Interface,True
SCF,RTF,Src\RTF\RTFCommon\Authentication\SignCertificateApi\CertificateApi.csproj,Inspur.GSP.Rtf.Certificate.Api,20Interface,True
SCF,RTF,Src\RTF\RTFCommon\Authentication\SignCertificateSpi\SignCertificateSpi.csproj,Inspur.GSP.Rtf.SignCertificate.Spi,20Interface,True
SCF,RTF,Src\RTF\RTFCommon\License\License\License.csproj,Genersoft.GS.Public.License,20Interface,True
SCF,RTF,Src\RTF\RTFCommon\License\LicenseSPI\LicAuthApi.csproj,Inspur.GSP.LicAuth.Api,20Interface,True
SCF,RTF,Src\RTF\RTFCommon\Remoting\RemotingService\Remoting.csproj,Inspur.GSP.Rtf.Remoting,20Interface,True
SCF,RTF,Src\RTF\RTFCore\Communication\CommunicationClient\CommunicationClient.csproj,Inspur.GSP.Rtf.Communication.Client,20Interface,True
SCF,RTF,Src\RTF\RTFCore\Communication\CommunicationCore\CommunicationCore.csproj,Inspur.GSP.Rtf.Communication.Core,20Interface,True
SCF,RTF,Src\RTF\RTFCore\Communication\CommunicationEntity\CommunicationEntity.csproj,Inspur.GSP.Rtf.Communication.Entity,20Interface,True
SCF,RTF,Src\RTF\RTFCore\Communication\CommunicationService\CommunicationService.csproj,Inspur.GSP.Rtf.Communication.Service,20Interface,True
SCF,RTF,Src\RTF\RTFCore\Navigation\Function\FunctionSPI\FunctionAPI.csproj,Inspur.GSP.Rtf.Function.Api,20Interface,True
SCF,RTF,Src\RTF\RTFCore\RtfCore.Api\RtfCore.Api.csproj,Inspur.GSP.Rtf.Core.Api,20Interface,True
SCF,RTF,Src\RTF\RTFCore\RtfCore.Context\RtfCore.Context.csproj,Inspur.GSP.Rtf.Core.Context,20Interface,True
SCF,RTF,Src\RTF\RTFCore\SSO\GSPSSOAuthenticationSPI\GSPSSOAuthenticationSPI.csproj,Inspur.GSP.Rtf.Security.SSOAuthentication.SPI,20Interface,True
SCF,RTF,Src\RTF\SmartClient\ClientUpdate\ClientUpdate.Api\ClientUpdate.Api.csproj,Inspur.GSP.Rtf.ClientUpdate.Api,20Interface,True
SCF,RTF,Src\RTF\SmartClient\SmartClient.Api\SmartClient.Api.csproj,Inspur.GSP.Rtf.SmartClient.Api,20Interface,True
SCF,RTF,Src\RTF\SmartClient\SmartClient.GuiBase\SmartClient.GuiBase.csproj,Inspur.GSP.Rtf.SmartClient.GuiBase,20Interface,True
DIP,SVC,Src\SVC\Asynch\AsynchronousApi\AsynApi.csproj,Inspur.GSP.Svc.Asynch.Api,20Interface,True
DIP,SVC,Src\SVC\Asynch\AsynchronousEpi\AsynEpi.csproj,Inspur.GSP.Svc.Asynch.Epi,20Interface,True
SCF,SVC,Src\SVC\BillPrint\Svc.BillPrint.Api\Svc.BillPrint.Api.csproj,Inspur.GSP.Svc.BillPrint.Api,20Interface,True
SCF,SVC,Src\SVC\BillPrint\Svc.PrintService.Api\Svc.PrintService.Api.csproj,Inspur.GSP.Svc.PrintService.Api,20Interface,True
SCF,SVC,Src\SVC\BizChangeLogging\Api\BizChangeLogging.Api.csproj,Inspur.GSP.Svc.BizChangeLogging.Api,20Interface,True
SCF,SVC,Src\SVC\BizEvent\BizEvent\BizEventSpi\BizEventApi.csproj,Inspur.GSP.Svc.BizEvent.Api,20Interface,True
ADP,SVC,Src\SVC\BusinessObject\GSPBusinessObjectSPI\BusinessObjectApi.csproj,Inspur.GSP.Svc.BusinessObject.Api,20Interface,True
ADP,SVC,Src\SVC\BusinessObject\Spi\BusinessObjectSpi.csproj,Inspur.GSP.Svc.BusinessObject.Spi,20Interface,True
SCF,SVC,Src\SVC\ClientDataCache\CacheEntity\CacheEntity.csproj,Inspur.GSP.Svc.ClientCaching.Entity,20Interface,True
SCF,SVC,Src\SVC\ClientDataCache\CacheEPI\CacheSpi.csproj,Inspur.GSP.Svc.ClientCaching.Spi,20Interface,True
SCF,SVC,Src\SVC\ClientDataCache\CacheSPI\CacheApi.csproj,Inspur.GSP.Svc.ClientCaching.Api,20Interface,True
SCF,SVC,Src\SVC\DataChangeCapture\DeleteData\Api\DeleteData.Api.csproj,Inspur.GSP.Svc.DeleteData.Api,20Interface,True
SCF,SVC,Src\SVC\DataSource\DataSourceApi\DataSourceApi.csproj,Inspur.GSP.Svc.DataSource.Api,20Interface,True
SCF,SVC,Src\SVC\EarlyWarning\EarlyWarning.Api\EarlyWarning.Api.csproj,Inspur.GSP.Svc.EarlyWarning.Api,20Interface,True
SCF,SVC,Src\SVC\Expression\Svc.Expression.Api\Svc.Expression.Api.csproj,Inspur.GSP.Svc.Expression.Api,20Interface,True
SCF,SVC,Src\SVC\LockService\CCMApi\CCMAPI.csproj,Inspur.GSP.Svc.LockService.Api,20Interface,True
SCF,SVC,Src\SVC\Message\Message.Api\MessageApi.csproj,Inspur.GSP.Svc.Message.Api,20Interface,True
DIP,SVC,Src\SVC\MessageQueue\GmqApi\GmqApi.csproj,Inspur.GSP.Svc.MQ.Api,20Interface,True
DIP,SVC,Src\SVC\MessageQueue\GmqTaskSpi\GmqTaskSpi.csproj,Inspur.GSP.Svc.MQ.Listener.GmqTaskSpi,20Interface,True
ADP,SVC,Src\SVC\Numbering\Api\NumberingApi.csproj,Inspur.GSP.Svc.Numbering.Api,20Interface,True
ADP,SVC,Src\SVC\Print\Print\PrintApi.csproj,Inspur.GSP.Svc.Print.Api,20Interface,True
SCF,SVC,Src\SVC\Schedule\Schedule.Api\Schedule.Api.csproj,Inspur.GSP.Svc.Schedule.Api,20Interface,True
SCF,SVC,Src\SVC\TempObject\TempObject.Api\TempObject.Api.csproj,Inspur.GSP.Svc.TempObject.Api,20Interface,True
SCF,SVC,Src\SVC\UniFileManager\Svc.UniFileMgr.Api\Svc.UniFileMgr.Api.csproj,Inspur.GSP.Svc.UniFileMgr.Api,20Interface,True
SCF,SYS,Src\SYS\Admin\Audit\GSPAuditSPI\GSPAuditAPI.csproj,Inspur.GSP.Sys.Audit.Api,20Interface,True
SCF,SYS,Src\SYS\Admin\UserState\GSPStakeoutSPI\GSPStakeoutAPI.csproj,Inspur.GSP.Sys.UserState.Api,20Interface,True
SCF,SYS,Src\SYS\Context\CustomVariable\CustomVariableApi\CustomVariableApi.csproj,Inspur.GSP.Sys.Context.CustomVariable.Api,20Interface,True
